NOMBRE ENTIDAD,TIPO ENTIDAD,FECHA CORTE,ESTADO FINANCIERO,CODIGO CUENTA,DESCRIPCION,SALDO,MONEDA
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.05915056178441021,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,ROA,ROA,0.013496930748769504,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,ROE,ROE,0.1220331354110349,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9563237595093181,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.8593599511909339,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.012102266094354674,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.5127195017183176,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.0371180822065119,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.1055,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.1406,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.38104453027100244,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BAC SAN JOSE,Bancos Privados,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.03108492022353341,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,ROA,ROA,-0.0032985808968409923,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,ROE,ROE,-0.02775261404035377,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9522083946015121,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.4822650382227297,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.02189738289909935,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,1.05099622790433,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.03429674789758512,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0521,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.1495,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.3132172103325717,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANCO BCT,Bancos Privados,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.030996327116628735,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,ROA,ROA,0.03089659603112033,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,ROE,ROE,0.33966339866804435,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,1.0007747172366839,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,45.29345946764064,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,3.8035148930999434e-05,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.1974551289044097,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.010706861574785401,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0218,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.2994,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,1.0508584892880888,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
